week,rank,title,artist,spotify_id,danceability,energy,tempo,valence,speechiness,acousticness,instrumentalness,liveness,loudness,key,mode,genre
2025-01-05,84,Brokey,Latto,1JF8LkQWZ8grXb2emqrNKn,0.776,0.525,75.013,0.467,0.137,0.0366,0.0,0.108,-6.723,1.0,1.0,
2025-01-05,85,Rosones,Tito Double P,0LTwdL5yZ6YOTEGUQPFuSN,0.802,0.726,120.129,0.604,0.0318,0.704,9.7e-06,0.117,-5.939,1.0,1.0,corrido
2025-01-05,86,Juno,Sabrina Carpenter,0w1qp04v2zehJXctW0JPjy,0.634,0.741,130.514,0.627,0.045,0.0631,0.0,0.199,-4.234,5.0,1.0,pop
2025-01-05,87,Nadie,Tito Double P,7sd6zMrgGpEa7NkQm9TRrg,0.702,0.843,92.604,0.526,0.114,0.465,0.0,0.12,-4.71,7.0,1.0,corrido
2025-01-05,88,What Is This Feeling?,Ariana Grande & Cynthia Erivo,7eGuPhpdS8sBjPJNuAShUX,0.607,0.48,151.909,0.637,0.12,0.691,0.0,0.111,-8.81,1.0,1.0,pop
2025-01-05,89,El Club,Bad Bunny,0iKo4pNNjHHdKUcFARlfCa,0.516,0.611,110.744,0.261,0.0555,0.458,5.34e-05,0.113,-5.486,10.0,0.0,reggaeton
2025-01-05,90,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",5C1O3fpMsiisJpHiB1uuDf,0.505,0.499,77.767,0.237,0.0309,0.425,0.0852,0.0574,-9.134,2.0,1.0,v-pop
2025-01-05,91,Pitorro de Coco,Bad Bunny,14QaXYIK3K3QPtezqxRRPN,0.636,0.667,97.769,0.544,0.0323,0.25,6.95e-06,0.116,-4.708,7.0,1.0,reggaeton
2025-01-05,92,The Largest,BigXthaPlug,3neOwym9kfYsM1QWaR77C1,0.899,0.86,130.995,0.789,0.244,0.0579,0.0,0.0854,-2.699,5.0,0.0,southern hip hop
2025-01-05,93,Wondering Why,The Red Clay Strays,1HbzxLqpNVPdiBXvpC7Ovb,0.524,0.209,148.59,0.347,0.0405,0.85,0.0,0.173,-12.437,4.0,1.0,country
2025-01-05,94,Ends Of The Earth,Ty Myers,6nd49XfTkJQI0rI9fnJIpy,0.647,0.297,129.962,0.227,0.0287,0.258,2.9e-05,0.0988,-7.806,9.0,1.0,country
2025-01-05,95,Chill Baby,SZA,1g7pFO1WtclKCuIQiS8sNM,0.252,0.482,179.603,0.426,0.0395,0.658,0.188,0.113,-9.817,1.0,1.0,r&b
2025-01-05,96,Holy Smokes,Bailey Zimmerman,0eNQPUVENuR95kC7dLHTSZ,0.462,0.569,95.117,0.432,0.0321,0.509,0.0,0.12,-7.908,7.0,1.0,country
2025-01-05,97,High Road,Zach Bryan,4CcozggmhXmndssEDH6YHR,0.47,0.229,113.404,0.213,0.0406,0.815,0.0,0.172,-11.028,4.0,1.0,country
2025-01-05,98,On One Tonight,Gunna,6EUcP55GlbmsmCzfL2vxtZ,0.887,0.727,130.035,0.932,0.135,0.381,1.16e-06,0.213,-4.318,4.0,0.0,melodic rap
2025-01-05,99,St. Chroma,"Tyler, the Creator Featuring Daniel Caesar",72NMPuJCRsOUoXQJdzVfdo,0.778,0.58,92.986,0.48,0.0425,0.452,0.000677,0.105,-7.26,2.0,0.0,v-pop
2025-01-05,100,Cowboy Songs,George Birge,6mXI5MGSfWzqwYXHpxKfnc,0.441,0.835,81.9,0.342,0.062,0.0425,0.0,0.108,-4.909,10.0,0.0,country
2025-01-12,1,Die With A Smile,Lady Gaga & Bruno Mars,2plbrEY59IikOBgBGLjaoe,0.521,0.592,157.969,0.535,0.0304,0.308,0.0,0.122,-7.777,6.0,0.0,art pop
2025-01-12,2,A Bar Song (Tipsy),Shaboozey,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,81.012,0.604,0.0273,0.0633,0.0,0.0804,-4.95,9.0,1.0,
2025-01-12,3,Birds Of A Feather,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,104.978,0.438,0.0358,0.2,0.0608,0.117,-10.171,2.0,1.0,
2025-01-12,4,Smile,Morgan Wallen,3MJ6lFNV12FSHAOzTzkwxz,0.502,0.223,126.31,0.396,0.0331,0.943,3.78e-06,0.0766,-11.285,11.0,1.0,country
2025-01-12,5,APT.,ROSE & Bruno Mars,5vNRhkKd0yEAg8suGBpjeY,0.777,0.783,149.027,0.939,0.26,0.0283,0.0,0.355,-4.477,0.0,0.0,k-pop
2025-01-12,6,Lose Control,Teddy Swims,6usohdchdzW9oML7VC4Uhk,0.561,0.604,159.92,0.242,0.0337,0.199,1.9e-05,0.104,-4.409,9.0,1.0,
2025-01-12,7,Luther,Kendrick Lamar & SZA,45J4avUb9Ni0bnETYaYFVJ,0.707,0.575,138.008,0.576,0.125,0.251,0.0,0.248,-7.546,2.0,1.0,hip hop
2025-01-12,8,That's So True,Gracie Abrams,7ne4VBA60CxGM75vw0EYad,0.554,0.808,108.548,0.372,0.0368,0.214,0.0,0.159,-4.169,1.0,1.0,
2025-01-12,9,I Had Some Help,Post Malone Featuring Morgan Wallen,7221xIgOnuakPdLqT0F3nP,0.638,0.855,127.986,0.731,0.0264,0.00757,0.0,0.245,-4.86,7.0,1.0,
2025-01-12,10,Espresso,Sabrina Carpenter,2qSkIjg1o9h3YT9RAgYN75,0.701,0.76,103.969,0.69,0.0285,0.107,6.54e-05,0.185,-5.478,0.0,1.0,pop
2025-01-12,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay,45J4avUb9Ni0bnETYaYFVJ,0.707,0.575,138.008,0.576,0.125,0.251,0.0,0.248,-7.546,2.0,1.0,hip hop
2025-01-12,12,Taste,Sabrina Carpenter,5G2f63n7IPVPPjfNIGih7Q,0.674,0.907,112.964,0.721,0.064,0.101,0.0,0.297,-4.086,3.0,1.0,pop
2025-01-12,13,Love Somebody,Morgan Wallen,7hR22TOX3RorxJPcsz5Wbo,0.619,0.843,122.064,0.746,0.0284,0.00948,0.000118,0.164,-5.348,5.0,0.0,country
2025-01-12,14,Beautiful Things,Benson Boone,6tNQ70jh4OwmPGpYy6R2o9,0.472,0.471,105.029,0.219,0.0603,0.151,0.0,0.14,-5.692,10.0,1.0,
2025-01-12,15,Timeless,The Weeknd & Playboi Carti,0FIDCNYYjNvPVimz5icugS,0.768,0.775,119.999,0.6,0.0466,0.069,2.96e-06,0.138,-5.06,11.0,0.0,
2025-01-12,16,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future",4IKvw1OdeTJIN3g4zWE38f,0.794,0.755,130.024,0.365,0.2,0.00527,0.0,0.299,-4.705,8.0,0.0,
2025-01-12,17,Too Sweet,Hozier,19XpFsce28aByvCC4g89tJ,0.74,0.643,117.025,0.96,0.0413,0.041,0.00229,0.0407,-5.446,10.0,1.0,
2025-01-12,18,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne",3DLtPObflLQBodZN8qGODT,0.704,0.573,127.995,0.759,0.0518,0.737,0.0,0.068,-7.032,0.0,0.0,v-pop
2025-01-12,19,Squabble Up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb,0.874,0.672,103.921,0.711,0.198,0.0206,0.0,0.0783,-5.568,0.0,1.0,hip hop
2025-01-12,20,Stargazing,Myles Smith,3Vr3zh0r7ALn8VLqCiRR10,0.635,0.601,123.994,0.332,0.0295,0.246,0.0,0.11,-6.129,1.0,0.0,
2025-01-12,21,"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu,0.7,0.582,116.712,0.785,0.0356,0.0502,0.0,0.0881,-5.96,11.0,0.0,
2025-01-12,22,30 For 30,SZA With Kendrick Lamar,3aSWXU6owkZeVhh94XxEWO,0.714,0.415,140.059,0.506,0.0634,0.758,0.000112,0.133,-10.338,1.0,0.0,r&b
2025-01-12,23,Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3,0.898,0.472,101.061,0.214,0.0776,0.0107,0.0,0.141,-7.001,1.0,1.0,hip hop
2025-01-12,24,Messy,Lola Young,2YuUy4hBCVm4L5IRHu0iVl,0.803,0.538,110.985,0.676,0.0361,0.119,0.00119,0.122,-5.9,6.0,0.0,
2025-01-12,25,High Road,Koe Wetzel & jessie murph,73KAidtqbDftZjy8AD0H04,0.614,0.743,138.077,0.623,0.0313,0.0839,0.0,0.107,-5.046,6.0,1.0,red dirt
2025-01-12,26,Whatchu Kno About Me,Glorilla & Sexyy Red,5xeSd4HgzrYpNLEf3LfYLK,0.832,0.684,166.976,0.68,0.359,0.00449,0.0,0.229,-4.691,1.0,1.0,
2025-01-12,27,Nuevayol,Bad Bunny,5TFD2bmFKGhoCRbX61nXY5,0.142,0.195,137.922,0.12,0.139,0.265,0.995,0.204,-20.024,6.0,1.0,reggaeton
2025-01-12,28,Baile Inolvidable,Bad Bunny,2lTm559tuIvatlT1u0JYG2,0.168,0.00332,119.387,0.219,0.0615,0.192,0.79,0.112,-46.113,10.0,1.0,reggaeton
2025-01-12,29,Tweaker,GELO,7HDq8aEtkBeZq7gfzYjW28,0.584,0.817,111.242,0.814,0.383,0.156,0.0,0.0736,-6.504,8.0,1.0,
2025-01-12,30,Sailor Song,Gigi Perez,2262bWmqomIaJXwCRHr13j,0.494,0.413,94.938,0.273,0.0254,0.682,6.72e-05,0.193,-10.432,11.0,1.0,
2025-01-12,31,Wind Up Missin' You,Tucker Wetmore,3EO58D1YpHnTvBy68gK8HE,0.571,0.717,171.858,0.661,0.0365,0.508,1.17e-06,0.112,-5.807,6.0,1.0,country
2025-01-12,32,Please Please Please,Sabrina Carpenter,5N3hjp1WNayUPZrA8kJmJP,0.669,0.586,107.071,0.579,0.054,0.274,0.0,0.104,-6.073,9.0,1.0,pop
2025-01-12,33,I Am Not Okay,Jelly Roll,3SaS0Va6o6jYkWvadT86C6,0.536,0.651,76.964,0.363,0.0287,0.084,0.0,0.148,-5.208,7.0,1.0,country hip hop
2025-01-12,34,BMF,SZA,3U3hFkMr0Q90pD24EkE3Pr,0.792,0.55,128.023,0.972,0.0307,0.506,0.0166,0.087,-8.528,10.0,0.0,r&b
2025-01-12,35,Bed Chem,Sabrina Carpenter,3hppjCoD5ruwTaoyJ0J5Wh,0.738,0.73,95.015,0.69,0.045,0.0668,0.0,0.102,-5.97,11.0,0.0,pop
2025-01-12,36,Voy A Llevarte Pa PR,Bad Bunny,59D4DOkspUbWyMmbAPQkxZ,0.148,0.604,106.295,1e-05,0.0588,0.921,0.453,0.405,-35.032,7.0,1.0,reggaeton
2025-01-12,37,El Club,Bad Bunny,0iKo4pNNjHHdKUcFARlfCa,0.516,0.611,110.744,0.261,0.0555,0.458,5.34e-05,0.113,-5.486,10.0,0.0,reggaeton
2025-01-12,38,DTMF,Bad Bunny,3sK8wGT43QFpWrvNQsrQya,0.625,0.131,136.02,0.032,0.0717,0.177,0.218,0.0807,-27.405,7.0,0.0,reggaeton
2025-01-12,39,Who,Jimin,7tI8dRuH2Yc6RuoTjxo4dU,0.66,0.756,116.034,0.838,0.032,0.00289,0.0,0.193,-3.743,0.0,0.0,k-pop
2025-01-12,40,Million Dollar Baby,Tommy Richman,5AJ9hqTS2wcFQCELCFRO7A,0.852,0.697,138.029,0.919,0.0439,0.0973,0.00037,0.0678,-5.52,1.0,0.0,
