week,rank,title,artist,spotify_id
2025-01-19,48,Cafe Con Ron,Bad Bunny & Los Pleneros de La Cresta,6VNXmo59yDYgcwLS17UNAW
2025-01-19,49,Wildflower,Billie Eilish,3QaPy1KgI7nu9FJEQUgn6h
2025-01-19,50,Pitorro de Coco,Bad Bunny,14QaXYIK3K3QPtezqxRRPN
2025-01-19,51,La Mudanza,Bad Bunny,3G7agPwWfcORnWCAGMDOpm
2025-01-19,52,Liar,Jelly Roll,0llPOBVoJYDAtdmVlNE41A
2025-01-19,53,I Never Lie,Zach Top,3t6gUcGYLrUuqwpXjOFWQc
2025-01-19,54,Like Him,"Tyler, the Creator Featuring Lola Young",72NMPuJCRsOUoXQJdzVfdo
2025-01-19,55,Pink Pony Club,Chappell Roan,6393yGahSJ9slVdOwSxOVR
2025-01-19,56,Loco,Neton Vega,4eLDmhsJW3JoZTXCAozHor
2025-01-19,57,Que Pasaria...,Rauw Alejandro & Bad Bunny,0l0vcZMU7AOeQmUIREoI2U
2025-01-19,58,Indigo,Sam Barber Featuring Avery Anna,1o6cYDMHvKOfizi4d9Lqxr
2025-01-19,59,Are You Even Real,Teddy Swims & GIVEON,7pDFd3sgEoPnka6k9IyBcH
2025-01-19,60,I'm Gonna Love You,Cody Johnson & Carrie Underwood,08wyXJO5ZcqloLYbpufenQ
2025-01-19,61,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future",4IKvw1OdeTJIN3g4zWE38f
2025-01-19,62,Lo Que Le Paso A Hawaii,Bad Bunny,1Hg0e997pObvZ91w1FCPFk
2025-01-19,63,4x4xU,Lainey Wilson,2z865bsdfckaBVck8MSAm8
2025-01-19,64,Bad Dreams,Teddy Swims,3nHuKdFJZm78CoeBnDcFKe
2025-01-19,65,Denial Is A River,Doechii,2A2YfuPzQoQUIcGe0C4SVD
2025-01-19,66,Tu Boda,Oscar Maydon & Fuerza Regida,1cOboCuWYI2osTOfolMRS6
2025-01-19,67,Good News,Shaboozey,54p6vNJwGkt4FTaM8SCsxt
2025-01-19,68,Think I'm In Love With You,Chris Stapleton,3Gn1zuHNLtGuGEOXwq0k7e
2025-01-19,69,Guy For That,Post Malone Featuring Luke Combs,6r5o9yIc16ZvymXUKJQ1yy
2025-01-19,70,I Ain't Sayin',Jordan Davis,7lCs3stpWCtAn5Y2lmnPhV
2025-01-19,71,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,5QMrH5nszZZR3nefIj6Mar
2025-01-19,72,No Pole,Don Toliver,0eaVIYo2zeOaGJeqZ5TwYz
2025-01-19,73,It's Ok I'm Ok,Tate McRae,24XihnoVPWXlKJ4BgXqjVM
2025-01-19,74,Am I Okay?,Megan Moroney,36wAwEkSDpNQ4oQeRLYC3L
2025-01-19,75,Scorsese Baby Daddy,SZA,2E7a96qey4AzSOdK6H21vS
2025-01-19,76,Residuals,Chris Brown,6txAWGckgEGJIhLjhNdtE9
2025-01-19,77,Heart Of A Woman,Summer Walker,2oVVaVY0LkzwAYYcyzon6Z
2025-01-19,78,Help Me,Real Boston Richey,487JCvAXVblflZyDJn3fSp
2025-01-19,79,Peekaboo,Kendrick Lamar Featuring AzChike,6g6W3pMAFbp2FS1QCijkpM
2025-01-19,80,Diet Pepsi,Addison Rae,6ouhsRJ7gExB7LCYjITk4Y
2025-01-19,81,Popular,Ariana Grande,3i8fIJNV0yuC4kXT3SkVBZ
2025-01-19,82,Boys Back Home,Dylan Marlowe & Dylan Scott,1hgINxfKQlJOikzd9skvC2
2025-01-19,83,Stuff,Lil Baby Featuring Travis Scott,4vqwVaEqLNWo3UXhQi5IFH
2025-01-19,84,Rosones,Tito Double P,0LTwdL5yZ6YOTEGUQPFuSN
2025-01-19,85,Nadie,Tito Double P,7sd6zMrgGpEa7NkQm9TRrg
2025-01-19,86,Khe?,Rauw Alejandro & Romeo Santos,1YYfyJ2yCvGFCxwjsIqEK9
